duration,credit_amount,age,installment_rate,sex,target
17.0,3552.0,38.0,2,female,0
25.0,4167.0,41.0,1,male,0
19.0,1488.0,35.0,3,female,1
10.0,4600.0,28.0,3,male,1
30.0,1925.0,33.0,2,male,0
15.0,1461.0,27.0,3,female,1
15.0,2241.0,39.0,4,male,1
4.0,1175.0,53.0,2,male,1
12.0,2446.0,33.0,3,male,1
29.0,2821.0,31.0,4,male,1
4.0,2208.0,43.0,1,male,1
20.0,3191.0,42.0,3,male,0
30.0,2085.0,39.0,1,male,1
16.0,2446.0,28.0,3,female,1
24.0,1188.0,38.0,2,female,0
8.0,2493.0,46.0,2,female,1
37.0,1595.0,23.0,1,male,0
34.0,1949.0,33.0,2,male,1
24.0,2329.0,19.0,3,female,0
4.0,2685.0,24.0,2,female,1
8.0,1071.0,19.0,1,female,1
33.0,1117.0,35.0,4,male,0
42.0,2099.0,24.0,1,male,1
25.0,3094.0,41.0,2,male,1
36.0,2922.0,40.0,1,female,1
14.0,3814.0,36.0,1,female,1
19.0,4678.0,19.0,4,male,1
21.0,3128.0,32.0,2,male,1
26.0,2416.0,37.0,4,male,0
4.0,1457.0,39.0,4,male,0
32.0,1521.0,21.0,3,male,0
37.0,1932.0,33.0,3,male,1
7.0,2790.0,27.0,4,male,1
5.0,2725.0,29.0,1,male,1
25.0,2446.0,50.0,3,male,1
13.0,2261.0,29.0,2,male,0
4.0,3345.0,38.0,3,female,1
31.0,2709.0,48.0,2,female,1
23.0,2833.0,32.0,4,male,0
15.0,2848.0,37.0,1,female,0
46.0,1857.0,39.0,4,male,0
23.0,1458.0,39.0,4,male,1
12.0,3120.0,25.0,4,female,1
22.0,3006.0,39.0,4,female,0
9.0,2186.0,53.0,1,female,0
12.0,1983.0,21.0,1,male,0
26.0,7625.0,47.0,1,male,1
14.0,1670.0,39.0,3,male,1
16.0,2189.0,31.0,1,male,1
41.0,2787.0,60.0,2,female,1
31.0,1370.0,46.0,1,male,1
31.0,2588.0,25.0,1,male,0
27.0,5996.0,39.0,3,male,0
27.0,3893.0,44.0,2,female,1
38.0,3348.0,36.0,3,male,1
21.0,3282.0,46.0,1,male,1
43.0,2581.0,37.0,4,male,0
10.0,3941.0,45.0,3,female,1
18.0,2258.0,54.0,3,male,0
4.0,1976.0,31.0,2,male,1
17.0,2568.0,40.0,4,male,0
27.0,3839.0,33.0,3,male,1
38.0,2879.0,39.0,2,male,1
13.0,3420.0,25.0,4,male,1
21.0,887.0,32.0,4,male,1
17.0,4432.0,36.0,3,male,0
12.0,7866.0,48.0,2,female,1
7.0,4757.0,51.0,2,male,1
22.0,2082.0,23.0,2,male,0
4.0,1597.0,29.0,1,female,1
22.0,2804.0,45.0,1,male,1
21.0,1490.0,19.0,3,male,0
13.0,3508.0,33.0,3,male,0
9.0,1877.0,37.0,3,male,1
4.0,3946.0,52.0,4,male,1
43.0,4823.0,46.0,4,female,0
5.0,883.0,34.0,1,male,1
40.0,2825.0,34.0,1,female,1
28.0,1721.0,35.0,2,male,1
17.0,1206.0,55.0,1,male,1
7.0,1792.0,33.0,3,male,0
34.0,2188.0,35.0,4,male,1
42.0,4092.0,42.0,3,male,1
10.0,1141.0,37.0,3,male,0
17.0,4127.0,36.0,4,male,0
34.0,6694.0,26.0,1,female,1
25.0,3290.0,38.0,2,female,1
45.0,3207.0,33.0,3,male,1
14.0,2424.0,51.0,4,female,1
28.0,1356.0,45.0,1,male,1
6.0,3189.0,38.0,1,male,1
46.0,2957.0,45.0,3,female,1
12.0,3519.0,34.0,3,male,1
4.0,8817.0,50.0,3,male,0
19.0,3512.0,38.0,1,female,1
19.0,3020.0,44.0,3,female,1
44.0,5329.0,24.0,3,female,1
17.0,1246.0,42.0,1,female,1
21.0,1378.0,19.0,1,male,0
28.0,2023.0,19.0,4,female,0
40.0,1759.0,35.0,4,male,1
20.0,3453.0,28.0,4,male,1
33.0,2082.0,40.0,1,male,1
27.0,5825.0,63.0,4,male,0
17.0,5220.0,29.0,3,female,0
22.0,3587.0,31.0,4,female,1
21.0,2012.0,40.0,3,male,1
10.0,3323.0,43.0,2,male,1
36.0,3661.0,36.0,2,male,1
4.0,1432.0,36.0,4,female,1
35.0,2906.0,46.0,4,male,1
32.0,3474.0,44.0,3,male,1
20.0,2720.0,27.0,3,male,1
12.0,5354.0,37.0,3,male,0
18.0,4479.0,38.0,4,male,0
27.0,1615.0,26.0,3,male,1
30.0,2597.0,41.0,1,male,1
24.0,1607.0,29.0,1,male,1
33.0,3261.0,49.0,4,female,1
14.0,1582.0,40.0,4,female,1
24.0,3873.0,39.0,1,male,0
4.0,2963.0,31.0,3,male,1
30.0,3966.0,37.0,2,male,0
23.0,2270.0,19.0,1,male,1
16.0,1178.0,26.0,3,male,1
35.0,5901.0,42.0,2,male,1
29.0,2239.0,19.0,4,male,1
4.0,4858.0,47.0,1,male,1
21.0,3026.0,19.0,3,female,1
4.0,3418.0,46.0,2,male,1
34.0,6093.0,29.0,4,male,1
51.0,2893.0,47.0,4,female,0
15.0,4915.0,39.0,3,male,1
22.0,1162.0,21.0,2,male,1
18.0,3773.0,52.0,4,male,1
25.0,2163.0,54.0,2,female,0
29.0,2282.0,37.0,2,male,1
36.0,2451.0,35.0,4,male,1
9.0,2902.0,36.0,1,female,1
40.0,5589.0,27.0,1,male,1
10.0,966.0,50.0,1,female,1
24.0,2495.0,32.0,1,female,1
35.0,1706.0,37.0,1,male,1
30.0,4372.0,29.0,3,male,1
10.0,1975.0,31.0,1,female,0
13.0,3067.0,24.0,1,male,0
15.0,2001.0,52.0,1,male,1
20.0,3409.0,36.0,3,male,0
35.0,4054.0,49.0,1,male,1
5.0,2001.0,38.0,4,female,0
27.0,2501.0,30.0,3,male,0
28.0,1200.0,34.0,3,female,1
28.0,2843.0,32.0,1,female,1
27.0,3745.0,38.0,1,female,0
39.0,1849.0,34.0,4,female,1
27.0,4273.0,35.0,1,male,0
31.0,866.0,23.0,2,male,0
28.0,967.0,29.0,3,male,0
43.0,1219.0,56.0,3,male,1
4.0,1915.0,31.0,4,male,1
36.0,2463.0,26.0,1,female,0
18.0,2346.0,42.0,3,male,1
18.0,2360.0,53.0,3,male,1
9.0,3504.0,22.0,3,male,1
4.0,1927.0,36.0,4,male,1
16.0,1298.0,31.0,3,female,1
13.0,1310.0,19.0,4,female,1
27.0,7019.0,46.0,2,male,0
4.0,753.0,38.0,2,female,1
38.0,2235.0,39.0,3,female,1
24.0,5059.0,30.0,2,female,1
18.0,3108.0,43.0,1,female,1
12.0,1612.0,32.0,2,male,1
12.0,2443.0,36.0,2,female,0
7.0,3759.0,26.0,4,male,1
14.0,4465.0,25.0,4,female,1
21.0,1557.0,53.0,3,female,1
19.0,3570.0,32.0,1,male,0
4.0,2769.0,41.0,3,female,1
18.0,4240.0,38.0,3,female,0
10.0,4891.0,33.0,1,male,1
23.0,2056.0,32.0,3,male,0
43.0,1182.0,45.0,2,male,1
29.0,2975.0,35.0,1,female,1
17.0,5933.0,36.0,2,male,1
4.0,3439.0,38.0,4,male,1
4.0,2738.0,51.0,2,female,1
4.0,8107.0,45.0,1,male,0
30.0,1451.0,42.0,4,male,1
12.0,3833.0,32.0,4,male,0
22.0,1835.0,23.0,2,male,0
14.0,2502.0,48.0,2,male,1
22.0,2552.0,49.0,2,male,1
38.0,5205.0,36.0,3,female,0
13.0,1528.0,44.0,1,male,1
17.0,1868.0,47.0,4,male,1
11.0,1101.0,47.0,1,male,1
31.0,3114.0,48.0,4,female,1
9.0,1941.0,33.0,4,female,1
7.0,3014.0,55.0,2,male,1
4.0,1427.0,24.0,3,male,1
4.0,2039.0,47.0,1,male,1
27.0,4103.0,43.0,3,female,1
52.0,2237.0,48.0,3,female,0
9.0,3337.0,59.0,3,male,0
32.0,3178.0,54.0,3,male,0
24.0,2046.0,25.0,3,male,1
8.0,1119.0,19.0,1,male,0
18.0,3995.0,47.0,1,male,1
18.0,2658.0,27.0,2,female,1
13.0,3990.0,38.0,1,female,1
44.0,892.0,47.0,4,male,0
4.0,1067.0,20.0,3,male,1
26.0,836.0,19.0,3,male,1
25.0,1574.0,41.0,3,female,0
14.0,4109.0,38.0,1,female,0
23.0,3239.0,35.0,4,female,0
32.0,2399.0,38.0,3,female,0
23.0,2606.0,29.0,4,male,1
26.0,3570.0,21.0,2,female,1
29.0,2098.0,36.0,3,female,1
4.0,2975.0,27.0,4,male,0
39.0,2618.0,20.0,2,male,1
48.0,818.0,44.0,2,male,1
33.0,2013.0,37.0,3,male,1
33.0,4814.0,42.0,1,female,1
4.0,2002.0,27.0,3,male,0
20.0,2272.0,31.0,1,male,1
11.0,1802.0,27.0,3,male,1
14.0,1915.0,28.0,1,female,1
33.0,4281.0,40.0,1,male,1
11.0,2134.0,29.0,4,male,0
19.0,1464.0,42.0,1,male,1
4.0,515.0,42.0,2,male,1
19.0,1833.0,60.0,3,male,0
22.0,913.0,23.0,2,male,1
13.0,981.0,48.0,3,male,1
12.0,3632.0,37.0,4,male,1
44.0,3478.0,38.0,1,male,0
6.0,936.0,22.0,1,male,1
