duration,credit_amount,age,installment_rate,sex,target
13.0,1618.0,50.0,4,male,1
40.0,3752.0,39.0,4,male,0
25.0,2809.0,33.0,4,female,0
35.0,2740.0,42.0,3,male,1
20.0,2459.0,19.0,4,male,0
13.0,1640.0,38.0,1,female,1
25.0,5137.0,52.0,2,male,1
9.0,2628.0,35.0,3,male,1
26.0,5596.0,61.0,1,female,1
17.0,1503.0,34.0,4,male,0
17.0,968.0,26.0,4,female,0
17.0,5205.0,45.0,4,male,0
8.0,1296.0,36.0,2,male,1
39.0,2640.0,46.0,2,male,0
4.0,2007.0,30.0,1,male,1
24.0,2266.0,45.0,3,male,0
4.0,2034.0,39.0,2,male,1
33.0,1353.0,40.0,4,female,1
18.0,1265.0,49.0,1,male,1
23.0,2763.0,29.0,3,female,1
27.0,1677.0,36.0,1,male,1
25.0,6038.0,52.0,3,male,1
23.0,2568.0,53.0,2,male,1
26.0,5162.0,47.0,1,male,0
25.0,1929.0,25.0,4,male,0
15.0,3731.0,40.0,3,male,0
17.0,1793.0,33.0,3,male,1
17.0,1459.0,34.0,2,male,0
11.0,2134.0,20.0,1,male,0
13.0,2178.0,19.0,3,female,0
38.0,8123.0,51.0,4,female,0
4.0,1159.0,47.0,4,male,0
43.0,1751.0,21.0,3,male,1
14.0,3541.0,34.0,2,male,1
29.0,2235.0,38.0,4,female,1
21.0,2628.0,31.0,2,male,1
18.0,3658.0,44.0,2,male,1
28.0,2262.0,34.0,2,female,1
43.0,1675.0,22.0,3,female,1
19.0,1147.0,33.0,1,male,1
20.0,2355.0,43.0,3,female,1
14.0,3231.0,27.0,2,female,1
47.0,2765.0,47.0,2,female,0
36.0,4531.0,51.0,4,female,1
35.0,1976.0,45.0,1,male,1
21.0,2833.0,45.0,2,female,1
4.0,1512.0,36.0,3,female,1
27.0,866.0,44.0,3,male,1
4.0,3256.0,29.0,4,male,1
13.0,1898.0,19.0,1,female,1
33.0,3444.0,30.0,2,male,0
13.0,1746.0,55.0,1,male,0
12.0,1023.0,50.0,1,male,1
4.0,1451.0,25.0,1,female,1
30.0,2065.0,35.0,3,female,0
26.0,1675.0,29.0,2,male,0
14.0,2065.0,24.0,4,female,1
26.0,3239.0,34.0,1,female,0
4.0,2377.0,47.0,3,female,0
9.0,3101.0,38.0,3,male,1
23.0,2219.0,35.0,3,male,0
32.0,1679.0,19.0,3,male,0
20.0,1400.0,63.0,2,male,1
5.0,754.0,24.0,3,female,0
14.0,3276.0,38.0,2,male,1
35.0,4346.0,48.0,2,female,0
13.0,1386.0,39.0,1,male,1
24.0,1427.0,47.0,2,female,1
26.0,1507.0,19.0,4,male,0
13.0,2883.0,27.0,2,male,0
21.0,2537.0,30.0,4,male,0
4.0,2097.0,22.0,2,male,1
13.0,2344.0,19.0,3,female,1
21.0,961.0,48.0,4,female,0
29.0,2249.0,23.0,1,male,1
38.0,2182.0,51.0,2,male,0
14.0,3114.0,48.0,4,female,1
27.0,1629.0,33.0,3,male,0
19.0,1829.0,21.0,3,female,1
10.0,2683.0,30.0,4,male,0
11.0,8747.0,30.0,2,female,1
20.0,1751.0,30.0,3,female,1
21.0,6960.0,29.0,4,male,1
11.0,1440.0,37.0,1,female,1
53.0,2529.0,34.0,3,male,0
20.0,1440.0,37.0,3,male,1
29.0,5019.0,37.0,3,male,1
17.0,2587.0,52.0,3,male,1
55.0,2745.0,62.0,1,male,1
4.0,4091.0,37.0,3,male,0
16.0,4823.0,37.0,2,female,0
23.0,1701.0,36.0,3,female,1
36.0,2797.0,49.0,3,male,1
20.0,1879.0,46.0,4,female,0
8.0,4432.0,39.0,4,female,1
41.0,804.0,36.0,4,female,1
29.0,7555.0,45.0,4,male,0
17.0,2135.0,50.0,3,female,1
17.0,806.0,32.0,4,male,1
17.0,2825.0,42.0,4,male,1
22.0,1526.0,19.0,1,male,0
4.0,2451.0,29.0,1,female,1
22.0,2597.0,43.0,1,male,1
13.0,4264.0,19.0,4,male,0
27.0,887.0,20.0,2,male,1
25.0,3012.0,40.0,2,male,1
7.0,4432.0,19.0,3,male,1
38.0,1185.0,34.0,4,female,1
30.0,3599.0,63.0,2,male,1
9.0,3706.0,41.0,1,male,0
7.0,1823.0,58.0,2,male,1
