duration,credit_amount,age,installment_rate,sex,target
15.0,771.0,57.0,1,female,1
4.0,2661.0,44.0,4,male,0
23.0,1457.0,37.0,2,female,1
23.0,2837.0,54.0,1,female,1
15.0,2015.0,36.0,2,male,0
25.0,3036.0,29.0,2,female,1
4.0,4625.0,36.0,3,male,0
33.0,3961.0,34.0,1,male,1
38.0,2135.0,38.0,1,female,0
5.0,1335.0,47.0,3,female,1
23.0,689.0,36.0,2,female,1
42.0,808.0,36.0,4,female,1
27.0,1673.0,49.0,2,male,1
8.0,2683.0,40.0,4,female,0
9.0,1785.0,49.0,4,female,1
33.0,1885.0,39.0,2,female,1
45.0,1056.0,23.0,4,male,1
8.0,1007.0,24.0,3,male,1
22.0,978.0,19.0,3,female,0
11.0,3513.0,51.0,4,male,1
18.0,866.0,41.0,1,male,1
25.0,3607.0,32.0,2,female,0
21.0,1538.0,26.0,1,male,0
12.0,3337.0,41.0,3,male,1
49.0,2902.0,36.0,4,male,0
19.0,3739.0,41.0,2,female,1
19.0,4714.0,28.0,4,female,0
35.0,1643.0,25.0,1,male,1
21.0,1461.0,56.0,4,male,1
18.0,1981.0,26.0,3,female,0
33.0,1640.0,37.0,2,male,1
8.0,3508.0,54.0,4,male,1
31.0,2355.0,19.0,3,male,1
34.0,2493.0,46.0,3,female,1
30.0,3115.0,38.0,3,male,0
19.0,1935.0,36.0,4,male,1
21.0,4413.0,40.0,3,male,1
4.0,879.0,23.0,1,male,1
20.0,2808.0,19.0,3,male,1
25.0,3217.0,60.0,3,male,1
33.0,1623.0,34.0,3,male,1
23.0,1698.0,48.0,2,male,1
16.0,3935.0,51.0,4,male,1
10.0,2052.0,40.0,1,male,1
21.0,866.0,42.0,3,male,1
23.0,1160.0,46.0,3,male,1
37.0,4172.0,57.0,1,female,1
21.0,1511.0,43.0,1,female,0
15.0,4891.0,53.0,4,male,1
20.0,5097.0,35.0,4,male,1
15.0,2182.0,33.0,3,male,1
18.0,3257.0,38.0,1,male,1
4.0,1526.0,41.0,2,male,0
4.0,1966.0,43.0,3,male,0
6.0,1659.0,60.0,4,male,1
27.0,3357.0,48.0,4,male,1
20.0,1188.0,38.0,3,male,1
23.0,2272.0,61.0,4,male,0
36.0,2534.0,41.0,4,male,1
8.0,3196.0,41.0,1,male,1
35.0,792.0,42.0,4,male,0
26.0,905.0,33.0,2,male,0
12.0,1487.0,25.0,3,male,0
41.0,2175.0,39.0,3,male,1
4.0,2605.0,34.0,1,male,1
7.0,2685.0,27.0,1,male,1
18.0,7019.0,39.0,3,female,1
27.0,3465.0,35.0,2,male,1
19.0,3334.0,31.0,4,male,1
4.0,1867.0,19.0,2,male,1
17.0,3681.0,36.0,4,male,1
20.0,3513.0,59.0,2,female,0
52.0,3526.0,48.0,4,male,1
39.0,2316.0,50.0,1,female,1
23.0,3409.0,37.0,3,male,1
8.0,5482.0,50.0,4,male,1
26.0,1574.0,30.0,1,female,0
7.0,771.0,31.0,1,male,1
24.0,3752.0,44.0,3,male,0
26.0,3574.0,22.0,4,male,0
16.0,2135.0,38.0,4,male,1
24.0,1935.0,40.0,3,male,0
17.0,8817.0,58.0,4,male,0
14.0,1902.0,29.0,1,male,0
41.0,1238.0,42.0,2,male,0
29.0,1905.0,30.0,4,female,1
17.0,3166.0,31.0,2,male,0
11.0,1749.0,19.0,2,male,1
23.0,1983.0,27.0,1,male,1
28.0,2873.0,51.0,2,male,1
32.0,1952.0,43.0,1,female,1
40.0,2618.0,39.0,3,male,1
27.0,2389.0,66.0,4,male,0
7.0,1335.0,43.0,3,female,0
47.0,2565.0,24.0,3,male,1
36.0,1281.0,35.0,2,male,1
32.0,3966.0,37.0,3,female,0
38.0,1461.0,57.0,1,female,1
4.0,2106.0,27.0,2,male,1
16.0,883.0,42.0,4,male,1
15.0,1925.0,49.0,1,female,1
36.0,1217.0,28.0,2,female,0
7.0,5333.0,38.0,1,female,0
17.0,2258.0,19.0,4,male,1
41.0,3227.0,39.0,2,female,0
30.0,925.0,19.0,1,female,1
16.0,1207.0,33.0,1,male,1
46.0,2227.0,58.0,4,male,1
4.0,1119.0,41.0,4,female,1
27.0,4435.0,38.0,4,female,0
18.0,1962.0,39.0,3,male,1
28.0,2625.0,63.0,4,male,0
18.0,2846.0,44.0,4,male,0
10.0,2202.0,50.0,4,male,1
24.0,3639.0,33.0,1,female,1
4.0,1665.0,32.0,1,female,1
28.0,2957.0,26.0,1,male,1
17.0,4510.0,36.0,3,male,0
33.0,2736.0,30.0,1,male,1
15.0,2576.0,49.0,1,male,0
12.0,2015.0,45.0,3,female,1
26.0,2492.0,36.0,1,female,1
37.0,3486.0,31.0,1,male,1
4.0,2084.0,19.0,4,male,1
23.0,958.0,30.0,3,male,0
29.0,2639.0,41.0,4,male,1
4.0,2189.0,45.0,4,female,1
10.0,3094.0,19.0,4,male,0
29.0,2474.0,19.0,3,male,1
11.0,5609.0,39.0,2,male,1
13.0,1227.0,25.0,1,female,1
44.0,1432.0,35.0,2,male,0
9.0,3404.0,32.0,2,male,1
10.0,1362.0,44.0,4,male,1
4.0,2837.0,19.0,4,female,0
7.0,2379.0,31.0,4,male,1
6.0,828.0,48.0,4,female,1
43.0,3473.0,40.0,4,male,1
36.0,5021.0,28.0,3,male,0
5.0,2663.0,42.0,3,male,1
46.0,1119.0,40.0,2,male,1
31.0,3658.0,28.0,3,female,0
19.0,1357.0,45.0,1,female,1
32.0,2266.0,46.0,3,male,0
26.0,3020.0,36.0,2,male,1
11.0,1572.0,48.0,1,male,1
4.0,942.0,24.0,1,male,1
9.0,2208.0,46.0,1,female,1
21.0,2362.0,35.0,2,female,0
17.0,1504.0,27.0,2,female,1
12.0,1572.0,30.0,4,male,1
33.0,3563.0,52.0,1,male,0
8.0,2271.0,31.0,1,male,1
33.0,1905.0,34.0,3,male,1
15.0,1759.0,30.0,4,male,0
22.0,2628.0,28.0,4,male,0
7.0,2502.0,49.0,1,female,0
21.0,2185.0,63.0,2,male,0
11.0,1111.0,53.0,2,female,1
4.0,1967.0,43.0,4,male,1
21.0,1726.0,46.0,4,male,0
20.0,2484.0,34.0,3,female,1
32.0,4413.0,32.0,4,male,0
25.0,3935.0,25.0,2,male,1
8.0,3344.0,55.0,2,female,1
13.0,2544.0,34.0,3,female,1
4.0,2002.0,29.0,2,male,1
7.0,2851.0,30.0,2,female,1
38.0,1902.0,39.0,3,female,1
41.0,2020.0,31.0,3,male,1
31.0,1527.0,37.0,4,female,0
25.0,2349.0,39.0,4,male,1
29.0,2317.0,54.0,2,male,0
27.0,6123.0,24.0,1,male,1
4.0,3172.0,40.0,1,male,1
10.0,1973.0,29.0,2,female,1
36.0,3600.0,33.0,2,male,1
36.0,1905.0,57.0,1,male,1
24.0,4056.0,45.0,2,male,1
17.0,3570.0,33.0,3,male,0
16.0,10509.0,44.0,2,male,0
14.0,1330.0,37.0,2,male,1
9.0,2294.0,51.0,2,male,1
4.0,2222.0,32.0,1,male,1
23.0,2823.0,43.0,1,female,1
15.0,3469.0,35.0,2,female,1
18.0,1406.0,37.0,3,female,0
43.0,1646.0,36.0,1,male,1
29.0,2833.0,30.0,1,male,0
12.0,3927.0,39.0,1,female,1
