duration,credit_amount,age,installment_rate,sex,target
23.0,5051.0,33.0,2,male,1
28.0,3717.0,40.0,3,female,0
4.0,3406.0,34.0,2,male,0
4.0,2373.0,35.0,3,male,0
4.0,2099.0,32.0,4,female,1
38.0,2819.0,34.0,2,male,1
8.0,1404.0,19.0,4,female,0
20.0,2112.0,30.0,4,male,1
43.0,1451.0,40.0,2,female,1
4.0,2902.0,28.0,1,male,0
5.0,1371.0,32.0,4,female,0
19.0,967.0,47.0,4,female,1
27.0,1899.0,28.0,3,male,1
36.0,1459.0,46.0,1,male,0
7.0,1751.0,47.0,1,female,0
28.0,1129.0,46.0,2,female,1
5.0,8747.0,46.0,4,female,0
17.0,2346.0,27.0,4,female,1
15.0,6059.0,26.0,3,male,0
14.0,3133.0,49.0,3,female,0
33.0,2362.0,39.0,3,male,0
27.0,1269.0,63.0,4,female,0
4.0,3966.0,52.0,1,male,0
27.0,3123.0,45.0,1,male,1
34.0,2738.0,40.0,4,male,0
14.0,2492.0,37.0,1,male,0
17.0,1400.0,39.0,4,female,1
34.0,1338.0,35.0,4,male,1
12.0,2606.0,37.0,1,female,1
39.0,3270.0,45.0,1,female,1
10.0,6059.0,42.0,2,male,0
18.0,828.0,40.0,3,female,0
13.0,3143.0,22.0,4,male,1
22.0,2365.0,22.0,2,male,0
22.0,1559.0,27.0,4,male,0
4.0,2084.0,19.0,3,female,0
21.0,3508.0,25.0,3,male,1
22.0,1984.0,30.0,1,male,1
13.0,2219.0,21.0,4,male,1
9.0,2029.0,31.0,3,female,1
23.0,2287.0,30.0,2,male,1
22.0,8817.0,20.0,2,male,0
4.0,7859.0,37.0,4,male,0
26.0,4630.0,24.0,1,male,1
44.0,942.0,38.0,4,female,0
22.0,6694.0,23.0,3,male,0
25.0,2084.0,30.0,2,female,0
4.0,2911.0,45.0,4,male,1
30.0,1896.0,26.0,2,male,1
25.0,3229.0,44.0,2,male,0
23.0,1347.0,57.0,4,male,0
14.0,4447.0,49.0,4,female,1
33.0,3392.0,23.0,1,male,1
30.0,1889.0,52.0,3,male,0
31.0,2314.0,57.0,4,male,1
10.0,1464.0,41.0,1,male,1
37.0,2484.0,58.0,3,male,1
29.0,2244.0,57.0,3,female,1
46.0,1905.0,19.0,3,male,1
7.0,1477.0,44.0,1,male,1
21.0,2382.0,43.0,2,male,1
19.0,2029.0,35.0,1,female,0
29.0,2369.0,35.0,4,male,0
28.0,1677.0,45.0,2,male,0
15.0,5503.0,68.0,3,male,0
20.0,1892.0,36.0,3,male,0
4.0,4792.0,51.0,3,male,0
35.0,2618.0,29.0,1,male,0
21.0,3782.0,46.0,4,male,0
18.0,804.0,47.0,1,male,1
18.0,6630.0,25.0,3,female,0
18.0,904.0,24.0,3,female,1
25.0,1940.0,50.0,4,female,1
15.0,1644.0,45.0,1,male,0
18.0,4235.0,48.0,3,male,1
4.0,3771.0,59.0,2,male,0
26.0,1395.0,37.0,4,male,1
32.0,3523.0,53.0,4,male,0
20.0,3935.0,40.0,3,female,1
12.0,1807.0,31.0,4,male,1
21.0,2098.0,35.0,4,male,0
38.0,2224.0,46.0,1,male,0
16.0,2414.0,31.0,1,male,1
14.0,3382.0,35.0,4,female,1
22.0,3581.0,60.0,4,male,0
33.0,1812.0,36.0,3,male,0
27.0,2534.0,47.0,3,male,1
20.0,2855.0,50.0,4,male,0
8.0,2464.0,36.0,2,male,0
33.0,1030.0,37.0,1,male,0
27.0,1265.0,31.0,4,male,0
4.0,1601.0,26.0,3,male,1
43.0,1964.0,48.0,2,male,0
35.0,3557.0,51.0,4,female,0
31.0,1459.0,32.0,4,female,1
30.0,7866.0,56.0,3,male,1
13.0,1226.0,40.0,2,male,0
34.0,2468.0,23.0,3,female,1
35.0,2423.0,29.0,1,male,1
41.0,1316.0,47.0,1,male,1
17.0,3966.0,19.0,3,male,0
14.0,2906.0,45.0,3,female,0
49.0,1863.0,45.0,3,male,1
24.0,2017.0,53.0,3,female,1
4.0,1230.0,22.0,4,male,1
11.0,4128.0,51.0,3,male,0
24.0,2568.0,51.0,1,male,0
34.0,1599.0,28.0,4,male,1
7.0,3808.0,45.0,1,female,0
18.0,854.0,39.0,4,male,1
12.0,3029.0,23.0,4,male,0
19.0,3264.0,44.0,3,female,0
9.0,2405.0,37.0,2,male,0
32.0,3094.0,22.0,1,female,1
11.0,4095.0,42.0,2,male,0
18.0,4193.0,37.0,3,male,1
28.0,1665.0,45.0,3,male,1
15.0,3948.0,43.0,2,male,0
22.0,1935.0,33.0,4,female,0
16.0,1857.0,26.0,4,female,1
42.0,3120.0,52.0,3,female,1
12.0,1859.0,54.0,4,female,1
26.0,3578.0,29.0,1,male,1
16.0,3417.0,47.0,4,female,0
15.0,3552.0,42.0,2,male,0
4.0,1468.0,38.0,4,male,0
21.0,2823.0,47.0,2,female,0
18.0,3902.0,37.0,2,female,0
24.0,4273.0,67.0,4,male,1
21.0,6660.0,32.0,4,female,0
10.0,4447.0,42.0,2,female,1
14.0,1178.0,19.0,2,male,0
4.0,2306.0,42.0,1,male,1
27.0,2669.0,28.0,1,male,0
32.0,1185.0,19.0,4,male,0
17.0,1865.0,35.0,4,female,1
13.0,1217.0,44.0,3,female,0
48.0,1967.0,30.0,2,male,1
17.0,5589.0,39.0,2,male,1
34.0,2499.0,34.0,4,female,0
11.0,1362.0,38.0,4,female,0
18.0,1028.0,19.0,4,male,0
8.0,1778.0,42.0,1,male,0
20.0,7635.0,25.0,4,female,1
16.0,1892.0,37.0,1,female,0
23.0,2042.0,37.0,4,male,1
25.0,10509.0,35.0,2,female,1
8.0,3168.0,46.0,1,female,0
