duration,credit_amount,age,installment_rate,sex,target
23.0,4152.0,35.0,4,female,0
7.0,2891.0,42.0,3,female,1
32.0,7110.0,27.0,1,male,1
9.0,2991.0,44.0,3,male,1
38.0,3738.0,29.0,4,male,0
20.0,1995.0,56.0,4,male,0
12.0,1951.0,30.0,3,male,1
14.0,4465.0,25.0,4,female,1
37.0,4008.0,42.0,4,male,1
30.0,1820.0,49.0,4,female,1
4.0,774.0,59.0,1,female,1
8.0,5218.0,39.0,1,male,1
6.0,3200.0,26.0,2,female,0
41.0,1006.0,33.0,2,male,1
33.0,2013.0,37.0,3,male,1
27.0,1446.0,26.0,4,female,1
10.0,1245.0,41.0,4,male,1
25.0,2782.0,54.0,2,female,1
8.0,2709.0,40.0,3,male,1
28.0,3005.0,38.0,4,female,1
31.0,2709.0,48.0,2,female,1
29.0,6960.0,23.0,4,female,0
20.0,6146.0,21.0,3,male,0
13.0,2485.0,28.0,4,female,1
42.0,6866.0,41.0,2,male,1
11.0,3737.0,48.0,4,male,1
26.0,2128.0,30.0,1,female,1
4.0,1777.0,28.0,1,male,1
35.0,2011.0,40.0,2,female,1
5.0,4349.0,26.0,1,male,0
22.0,1338.0,36.0,2,male,1
13.0,4959.0,42.0,2,female,1
29.0,1934.0,38.0,2,female,1
4.0,2099.0,38.0,1,male,1
21.0,513.0,53.0,3,male,1
22.0,2873.0,53.0,4,male,1
18.0,5707.0,29.0,1,male,1
26.0,5021.0,40.0,2,female,1
30.0,2857.0,30.0,3,male,1
22.0,2873.0,53.0,4,male,1
21.0,1414.0,58.0,3,female,0
46.0,1601.0,41.0,1,female,0
26.0,2316.0,37.0,2,female,0
22.0,2900.0,39.0,2,male,1
29.0,3172.0,31.0,1,female,1
33.0,2154.0,36.0,4,male,0
35.0,991.0,21.0,1,male,1
4.0,1742.0,46.0,4,male,0
4.0,722.0,22.0,1,male,1
40.0,3345.0,44.0,1,male,1
21.0,3128.0,32.0,2,male,1
17.0,1704.0,39.0,3,male,1
34.0,2004.0,53.0,2,male,1
25.0,2987.0,28.0,4,female,0
22.0,5556.0,54.0,3,male,0
5.0,813.0,19.0,1,female,0
44.0,990.0,48.0,1,male,1
22.0,2804.0,45.0,1,male,1
21.0,887.0,32.0,4,male,1
16.0,1371.0,49.0,3,male,1
25.0,2306.0,31.0,2,female,1
8.0,2473.0,23.0,2,female,1
8.0,1705.0,42.0,1,female,1
27.0,1965.0,43.0,4,male,0
9.0,2947.0,48.0,3,male,1
49.0,7635.0,37.0,4,female,0
12.0,1544.0,31.0,1,male,1
43.0,3119.0,64.0,2,male,1
25.0,1082.0,35.0,1,male,1
19.0,2378.0,35.0,3,male,1
23.0,1725.0,25.0,3,female,0
